at ibm executive banking dinner.. successful 'thought' leading banks have put their mobile strategy first.. mobile is tied to future growth.,,397409189884358656,162004083
"AT_USER oyuma mayindo tindo aye, ama coz we are topoftheleague",,397409622166106113,248277957
late errands damn rain (at AT_USER embakasi) URL,,397409803418763264,481284633
major cake cravings!!!!,,397410272862027776,438995099
AT_USER how long till the powe is back in drive inn environs thikaroad??,,397410358018973696,1279594015
"strategy should encompass mobile payments, mobile marketing and mobile banking.",,397410496821096448,162004083
AT_USER ..haha..,,397410599275347969,1272712327
[moderate] still on mombasa rd towards cbd near the bellevue area as of 19:16 nairobisc,,397410656476856320,969336888
[moderate] still on mama ngina st to moi ave as of 19:16 nairobisc,,397410667042320384,969281192
AT_USER hey how long till power is back in drive inn environs thikaroad??,,397410703126298624,1279594015
"oh yes more of my favorite coach del bosque ""AT_USER bosque: idea is to continue URL URL",,397410754196168704,173955121
AT_USER mtadhanywa soon tena..umeona vile tumeenda juu ? kwani bender yuko ? AT_USER,,397410901227503616,168698954
AT_USER AT_USER ..thanks for the reminder,,397410958144188416,1272712327
my nokiamemories was the game section its the only thing i would sneek and take my dads phone kwanza snake n bouncing game AT_USER,,397411001043136512,113359997
AT_USER what is my current bill. a/c 2372785,,397411119855579136,450642633
"AT_USER transcentury ceo gachao kiuna winner of east african cnbc african young business leader award"" well done to the young lion.",,397411175266541568,162004083
"AT_USER manufacture for a long time have thretened never happens, check out what the ""haki yetu"" guys have to say URL",,397411577319923712,306140775
my guy (1998)AT_USER frist movie,,397411643745128448,1497573584
eazymondaycooling watching thebible on ktn spiritualnourishments @ park garden apartments URL,,397412165969510401,110668690
"AT_USER screw twerking, girl can you cook?""thats what bitchez neeed to learn",,397412302712225792,398264305
preparations for tomrw,,397413228835115008,56667769
"AT_USER ningekua msichana ningetaka kuolewa na pastor, mzuri kwa wote. nimuombe, aniombe... tuombane, omba omba.",,397413253938044928,356115110
i'm at r 21 URL,,397413541357297664,35719875
“AT_USER a unicorn dildo is not the right answer when your mom asks you what you want for christmas.”😂😂😂😂😂😂👏👏👏💔💋👏👏👍👊💪,,397413713562828800,73434413
AT_USER hatudhanywi i can bet my balls or neck AT_USER ...,,397413739672383488,168698954
the devis really alwys at work!,,397413835663245312,784353751
AT_USER bado iko ? AT_USER,,397413858362818560,168698954
"loyalty means i am down with you whether you're right👍👉 or wrong❌, but i will tell you when you are wrong and help you get it right!",,397413988889559040,1067669360
the devil is really alwys at work! !,,397413989879406592,784353751
wasted......👅👅😤😓😓😓😓😓😥😰,,397414187309498369,73434413
i have been repaying helb for two years now and my balance looks unchangeable,,397414275494739968,828448958
[slow] still on mombasa rd towards airport near the bellevue area as of 19:51 nairobisc,,397414400547512322,969336888
[moderate] changed from [slow] nw-bound on moi ave after mama ngina st jnctn as of 19:51 nairobisc,,397414401528954880,969281192
[moderate] changed from [slow] se-bound on moi ave to mama ngina st jnctn as of 19:51 nairobisc,,397414402564972546,969281192
[moderate] changed from [slow] on mombasa rd towards nyayo rndbt near marshalls bldg as of 19:51 nairobisc,,397414411184246785,965737039
next is to redesign your business and processes to meet the mobilestrategy.. a mobileapp is the front user interface - what about backend?,,397414617208864769,162004083
nw arrow s02e04,,397414759555141632,467807361
"i'm at kenchic, total (nairobi, kenya) URL",,397414839024648192,295561297
my best memory was the games no phone had cook games like nokia ilikuwa vital kwa hao cz of that AT_USER ashashare AT_USER,,397414865121595392,113359997
i support any proposal to have two children per family policy.... best idea so for a healthy and educated nation.,,397415017257390080,353222544
tremors manze! rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER akishuta unahisi wave.,,397415018687258624,240177859
mwiki sio trm yoh!. rt AT_USER lol toka hapa rt AT_USER hehehe..wuui rt miss_patriciah: @ trm (via manual foursquare),,397415233506918400,240177859
tight skirt | samantha j &gt;&gt; would love to see AT_USER AT_USER AT_USER AT_USER bubbling to ths crazy tune !!,,397415563657764864,270268726
in the library till now! this are the end times my friend! (@ post-mordern lib) URL,,397415631894888448,224295157
been in bed since 4pm. just having like the worst day of my life (@ nairobi dam estate) URL,,397416140093554689,464038640
ha. so true.... via AT_USER URL,,397416398856544256,35727352
AT_USER truly talented. i can't stop listening to skelewu it's become my anthem,,397416677832667136,450642633
np mmlp2 album | eminem,,397417344668282880,270268726
"she's here.. excitoz :)) (@ jkia international airport, nairobi) URL",,397418227879669760,271418229
[slow] changed from [moderate] on mombasa rd towards cbd near the bellevue area as of 20:13 nairobisc,,397418246011232256,969336888
[slow] changed from [moderate] se-bound on moi ave to mama ngina st jnctn as of 20:13 nairobisc,,397418253909127168,969281192
[moderate] still in nyayo rndbt as of 20:13 nairobisc,,397418279100104704,965737039
"“AT_USER happiness is my goal in love, what is yours? wishforit”👍",,397418363364081664,73434413
AT_USER please expound d: even me i wanna laugh!,,397418563205885952,106876746
"amen “AT_USER god has an appointment with your breakthrough. and when that time comes, god will not be late.”",,397418836082696192,110668690
"yaaaay AT_USER won , kudos ironstan wtf URL",,397419400233775105,293613856
the bible is paced like a trailer,,397419655020969984,15189384
AT_USER gun trade or what,,397419773682016256,364854017
no. the cold war wasn't a war fought in winter.,,397419881182027776,67557855
"AT_USER the most important things are the hardest to say""true true,like? ???",,397420000270905344,364854017
"i have learnt to thank god for the small things in life, coz i have realised they are the bridges to great things. # thankful",,397421896096288768,353222544
[slow] changed from [moderate] on mombasa rd towards nyayo rndbt near marshalls bldg as of 20:31 nairobisc,,397421944057757696,965737039
AT_USER and this is the last thing you will remember tweeting. anyone turnt up yet???,,397422493675585536,467807361
"AT_USER thanks for the invite,might not be fully active though,bless you *smiles*",,397422814791094272,1202010384
AT_USER glee! desperate housewives. that kind of shit.,,397422876741341184,467807361
nokia 2600 changed my opinion about nokia for ever from coloured screen to its items it was just waoh nokiasale ashashare AT_USER,,397423074418520064,113359997
"AT_USER hehe! i am well,labda wewe *smiles*",,397423122539753472,1202010384
"AT_USER could you clarify for me, how 200 bob gets you 19 units, 15, 12, 9 and 5 units in the same month? what normally happens?",,397423454754181120,55486843
am told that trophy ni mali ya k'ogalo fans sio ya team.giniwasekwalo,,397423546995339264,364854017
but how come cartoons die as soon as they get sick!?,,397423605807869952,299191842
who cares even if their is condom shotage,,397423733855764480,270367857
life is not always fair. sometimes you get a splinter even sliding down a rainbow. ~terri guillemets,,397423981093208064,364854017
AT_USER its still not working.,,397424661879087104,587655557
shock as bank giving out river road made cash through atm.,,397424714500800512,270367857
kicking off my healing month with a gym debut... AT_USER (at the arena health &amp; fitness centre) [pic] — URL,,397424737929789441,14508998
now i might never get to see the great pyramid at giza.......mohammedmorsi. 'i am president,,397424852925427712,253893775
AT_USER we are one please come back,,397425084123860992,364854017
rt AT_USER nimereceive thanks AT_USER AT_USER,,397425747801165824,97240752
